"entropy";"pc";"bfr";"shf";"msi";"used";"blocked";"ratio"
"38.458333";"1.103868";"0.805598";"1.481890";"344.416667";"0.534801";"0";"0.000000"
"20.000000";"10.505653";"0.404033";"1.169816";"216.916667";"0.332505";"0";"0.000000"
"21.750000";"7.535776";"0.498733";"1.210563";"238.333333";"0.361032";"0";"0.000000"
"31.125000";"1.887240";"0.691888";"1.355825";"318.958333";"0.517756";"0";"0.090000"
"43.083333";"0.951889";"0.817030";"1.602871";"333.833333";"0.508049";"0";"0.140000"
"43.625000";"0.962845";"0.817956";"1.614199";"336.041667";"0.504143";"0";"0.330000"
"16.958333";"13.437089";"0.336578";"1.059749";"193.791667";"0.318063";"0";"0.000000"
"20.000000";"9.220141";"0.416880";"1.154041";"224.958333";"0.374171";"0";"0.000000"
"10.916667";"39.522397";"0.158657";"0.645291";"105.333333";"0.169271";"0";"0.000000"
"37.041667";"1.049386";"0.802883";"1.471280";"342.708333";"0.539891";"0";"0.000000"
"35.416667";"1.963648";"0.802237";"1.647705";"343.500000";"0.449455";"0";"0.000000"
"43.083333";"0.913368";"0.820469";"1.599573";"334.791667";"0.511245";"0";"0.120000"
"36.666667";"1.914304";"0.777066";"1.534283";"326.541667";"0.479522";"0";"0.000000"
"21.166667";"8.200598";"0.466175";"1.193423";"226.958333";"0.345999";"0";"0.000000"
"36.708333";"1.561125";"0.770864";"1.508116";"334.166667";"0.484848";"0";"0.000000"
"38.333333";"1.063783";"0.810365";"1.506827";"344.291667";"0.531723";"0";"0.000000"
"10.291667";"49.738252";"0.163233";"0.669287";"102.625000";"0.155066";"0";"0.000000"
"41.625000";"0.844416";"0.808622";"1.526220";"337.375000";"0.534564";"0";"0.000000"
"30.166667";"2.011568";"0.663756";"1.183151";"331.625000";"0.553622";"0";"0.680000"
"38.291667";"1.334102";"0.800210";"1.574348";"339.166667";"0.490294";"0";"0.000000"
"36.875000";"1.562774";"0.769326";"1.513096";"334.166667";"0.483902";"0";"0.000000"
"42.958333";"0.795465";"0.808109";"1.547268";"338.208333";"0.526634";"0";"0.000000"
"39.000000";"1.006336";"0.808999";"1.483543";"344.291667";"0.541548";"0";"0.000000"
"30.125000";"2.303354";"0.644110";"1.330549";"305.000000";"0.469105";"0";"0.000000"
