entropy, bfr, shf, used, blocked, ratio
9.750000, 0.132229 , 0.573157 , 0.149503 , 0 , 0.00
9.750000, 0.131826 , 0.573344 , 0.151634 , 0 , 0.00
9.833333, 0.130548 , 0.573265 , 0.154474 , 0 , 0.00
9.916667, 0.139383 , 0.592259 , 0.157315 , 0 , 0.00
9.833333, 0.138646 , 0.589741 , 0.157907 , 0 , 0.00
9.875000, 0.138058 , 0.588541 , 0.158736 , 0 , 0.00
9.875000, 0.137931 , 0.588232 , 0.158854 , 0 , 0.00
9.875000, 0.137335 , 0.586564 , 0.159328 , 0 , 0.00
10.041667, 0.135987 , 0.593063 , 0.162642 , 0 , 0.00
10.291667, 0.140835 , 0.609482 , 0.158262 , 0 , 0.00
10.291667, 0.140305 , 0.607690 , 0.158736 , 0 , 0.00
10.291667, 0.139804 , 0.607489 , 0.160511 , 0 , 0.00
10.375000, 0.141413 , 0.613709 , 0.161577 , 0 , 0.00
10.458333, 0.136772 , 0.606002 , 0.156250 , 0 , 0.00
10.458333, 0.137075 , 0.607710 , 0.158736 , 0 , 0.00
10.541667, 0.147964 , 0.629264 , 0.163471 , 0 , 0.00
10.458333, 0.146364 , 0.624465 , 0.164891 , 0 , 0.00
10.625000, 0.155619 , 0.649916 , 0.168205 , 0 , 0.00
10.708333, 0.160087 , 0.655717 , 0.164418 , 0 , 0.00
10.625000, 0.159342 , 0.654189 , 0.165128 , 0 , 0.00
10.625000, 0.157918 , 0.650669 , 0.166548 , 0 , 0.00
10.708333, 0.155182 , 0.644925 , 0.169389 , 0 , 0.00
10.708333, 0.155698 , 0.645666 , 0.171046 , 0 , 0.00
10.708333, 0.154979 , 0.644624 , 0.172467 , 0 , 0.00
10.708333, 0.159684 , 0.654496 , 0.168797 , 0 , 0.00
10.750000, 0.159006 , 0.652474 , 0.169389 , 0 , 0.00
10.791667, 0.158387 , 0.651958 , 0.170218 , 0 , 0.00
10.875000, 0.163427 , 0.661733 , 0.172112 , 0 , 0.00
11.125000, 0.166082 , 0.670502 , 0.171875 , 0 , 0.00
11.208333, 0.164923 , 0.668697 , 0.173059 , 0 , 0.00
11.375000, 0.164544 , 0.670005 , 0.175900 , 0 , 0.00
11.291667, 0.163081 , 0.665854 , 0.177320 , 0 , 0.00
11.291667, 0.162048 , 0.662537 , 0.178267 , 0 , 0.00
11.291667, 0.161928 , 0.662139 , 0.178385 , 0 , 0.00
11.291667, 0.161287 , 0.660475 , 0.178977 , 0 , 0.00
11.458333, 0.166853 , 0.676968 , 0.181108 , 0 , 0.00
11.625000, 0.167074 , 0.682827 , 0.183949 , 0 , 0.00
11.625000, 0.166486 , 0.681003 , 0.184422 , 0 , 0.00
11.625000, 0.166942 , 0.681592 , 0.185843 , 0 , 0.00
11.708333, 0.168787 , 0.687965 , 0.188329 , 0 , 0.00
12.208333, 0.171604 , 0.698627 , 0.185961 , 0 , 0.00
12.291667, 0.173212 , 0.704012 , 0.187382 , 0 , 0.00
12.291667, 0.172950 , 0.703170 , 0.187618 , 0 , 0.00
12.125000, 0.171790 , 0.699295 , 0.188684 , 0 , 0.00
12.166667, 0.171402 , 0.698229 , 0.189039 , 0 , 0.00
12.083333, 0.170633 , 0.695573 , 0.189749 , 0 , 0.00
12.250000, 0.171921 , 0.697293 , 0.188329 , 0 , 0.00
12.250000, 0.171999 , 0.697808 , 0.189276 , 0 , 0.00
12.333333, 0.171511 , 0.697290 , 0.189749 , 0 , 0.00
12.333333, 0.171078 , 0.696164 , 0.190104 , 0 , 0.00
12.416667, 0.170391 , 0.696522 , 0.191051 , 0 , 0.00
12.833333, 0.170352 , 0.703482 , 0.191051 , 0 , 0.00
12.833333, 0.170121 , 0.702717 , 0.191288 , 0 , 0.00
13.083333, 0.176320 , 0.721433 , 0.195076 , 0 , 0.00
13.000000, 0.174414 , 0.715837 , 0.196851 , 0 , 0.00
13.000000, 0.173594 , 0.715007 , 0.197798 , 0 , 0.00
13.166667, 0.172985 , 0.724772 , 0.198390 , 0 , 0.00
13.000000, 0.188221 , 0.754734 , 0.193892 , 0 , 0.00
13.000000, 0.187911 , 0.753798 , 0.194129 , 0 , 0.00
13.166667, 0.196731 , 0.774457 , 0.195549 , 0 , 0.00
13.166667, 0.196363 , 0.773377 , 0.195904 , 0 , 0.00
13.083333, 0.195859 , 0.771381 , 0.196378 , 0 , 0.00
13.000000, 0.197353 , 0.773159 , 0.195076 , 0 , 0.00
13.083333, 0.195699 , 0.769618 , 0.196733 , 0 , 0.00
13.083333, 0.195441 , 0.768827 , 0.196970 , 0 , 0.00
13.000000, 0.194984 , 0.767135 , 0.197325 , 0 , 0.00
13.083333, 0.196479 , 0.770874 , 0.198745 , 0 , 0.00
13.083333, 0.196882 , 0.771469 , 0.200402 , 0 , 0.00
13.250000, 0.199103 , 0.779139 , 0.201823 , 0 , 0.00
13.250000, 0.201103 , 0.784574 , 0.200166 , 0 , 0.00
13.250000, 0.200495 , 0.782479 , 0.200876 , 0 , 0.00
13.250000, 0.200291 , 0.782036 , 0.201113 , 0 , 0.00
13.250000, 0.199442 , 0.778824 , 0.202060 , 0 , 0.00
13.250000, 0.198165 , 0.776266 , 0.203007 , 0 , 0.00
13.250000, 0.197541 , 0.775595 , 0.203717 , 0 , 0.00
13.250000, 0.196408 , 0.773810 , 0.205137 , 0 , 0.00
13.250000, 0.196298 , 0.773413 , 0.205256 , 0 , 0.00
13.250000, 0.195974 , 0.773645 , 0.205492 , 0 , 0.00
13.250000, 0.195197 , 0.772404 , 0.206439 , 0 , 0.00
13.250000, 0.194392 , 0.769552 , 0.207150 , 0 , 0.00
13.166667, 0.192945 , 0.764525 , 0.208570 , 0 , 0.00
13.250000, 0.192402 , 0.763526 , 0.210346 , 0 , 0.00
13.416667, 0.199967 , 0.778825 , 0.212240 , 0 , 0.00
13.500000, 0.199712 , 0.778525 , 0.212476 , 0 , 0.00
13.500000, 0.199416 , 0.777870 , 0.212831 , 0 , 0.00
13.666667, 0.198398 , 0.780663 , 0.213778 , 0 , 0.00
13.750000, 0.202184 , 0.789244 , 0.215909 , 0 , 0.00
13.833333, 0.203204 , 0.795799 , 0.214370 , 0 , 0.00
13.833333, 0.202902 , 0.795274 , 0.214725 , 0 , 0.00
13.833333, 0.202413 , 0.794433 , 0.215199 , 0 , 0.00
13.833333, 0.201471 , 0.791221 , 0.216146 , 0 , 0.00
13.833333, 0.201243 , 0.790657 , 0.216383 , 0 , 0.00
14.333333, 0.205776 , 0.805095 , 0.215436 , 0 , 0.00
14.416667, 0.210571 , 0.817827 , 0.218277 , 0 , 0.00
14.500000, 0.209003 , 0.815699 , 0.219697 , 0 , 0.00
14.583333, 0.207639 , 0.814411 , 0.220881 , 0 , 0.00
14.666667, 0.208334 , 0.817749 , 0.221236 , 0 , 0.00
14.666667, 0.207380 , 0.815140 , 0.222420 , 0 , 0.00
14.666667, 0.206518 , 0.814199 , 0.223366 , 0 , 0.00
14.750000, 0.208810 , 0.821185 , 0.225497 , 0 , 0.00
14.916667, 0.222592 , 0.845749 , 0.227983 , 0 , 0.00
14.833333, 0.221653 , 0.842631 , 0.228693 , 0 , 0.00
14.833333, 0.221400 , 0.841805 , 0.228930 , 0 , 0.00
14.916667, 0.220978 , 0.841870 , 0.229285 , 0 , 0.00
15.000000, 0.224691 , 0.852878 , 0.231179 , 0 , 0.00
15.083333, 0.223791 , 0.851221 , 0.231889 , 0 , 0.00
15.166667, 0.222255 , 0.849701 , 0.233546 , 0 , 0.00
15.333333, 0.222274 , 0.852189 , 0.232363 , 0 , 0.00
15.333333, 0.221447 , 0.849666 , 0.233191 , 0 , 0.00
15.333333, 0.221472 , 0.850344 , 0.234020 , 0 , 0.00
15.333333, 0.220104 , 0.845723 , 0.235677 , 0 , 0.00
15.416667, 0.219809 , 0.845341 , 0.236032 , 0 , 0.00
15.500000, 0.218786 , 0.842054 , 0.236979 , 0 , 0.00
15.541667, 0.224314 , 0.855788 , 0.232244 , 0 , 0.00
15.541667, 0.223734 , 0.854323 , 0.232955 , 0 , 0.00
15.541667, 0.223307 , 0.853563 , 0.233428 , 0 , 0.00
15.208333, 0.212820 , 0.828779 , 0.226444 , 0 , 0.00
15.208333, 0.212400 , 0.827654 , 0.226918 , 0 , 0.00
15.291667, 0.211414 , 0.825265 , 0.227865 , 0 , 0.00
15.291667, 0.210244 , 0.822127 , 0.229048 , 0 , 0.00
15.541667, 0.218675 , 0.846333 , 0.221709 , 0 , 0.00
15.541667, 0.218168 , 0.844856 , 0.222183 , 0 , 0.00
15.625000, 0.216706 , 0.842239 , 0.223958 , 0 , 0.00
15.625000, 0.215510 , 0.840249 , 0.224905 , 0 , 0.00
15.458333, 0.214988 , 0.838290 , 0.225379 , 0 , 0.00
15.458333, 0.214493 , 0.836736 , 0.225852 , 0 , 0.00
15.791667, 0.218906 , 0.852089 , 0.221709 , 0 , 0.00
15.875000, 0.220408 , 0.856801 , 0.223840 , 0 , 0.00
15.791667, 0.220125 , 0.855577 , 0.224077 , 0 , 0.00
15.791667, 0.220746 , 0.855943 , 0.225734 , 0 , 0.00
15.875000, 0.221556 , 0.859325 , 0.228101 , 0 , 0.00
15.916667, 0.221468 , 0.858971 , 0.228220 , 0 , 0.00
16.166667, 0.223202 , 0.865281 , 0.230942 , 0 , 0.00
16.166667, 0.222968 , 0.864674 , 0.231179 , 0 , 0.00
16.000000, 0.221796 , 0.860435 , 0.232126 , 0 , 0.00
16.000000, 0.221236 , 0.858412 , 0.232718 , 0 , 0.00
16.000000, 0.219807 , 0.855592 , 0.233665 , 0 , 0.00
16.000000, 0.219408 , 0.854787 , 0.235440 , 0 , 0.00
16.250000, 0.220148 , 0.858732 , 0.234848 , 0 , 0.00
16.083333, 0.218042 , 0.851499 , 0.236624 , 0 , 0.00
16.166667, 0.220945 , 0.859986 , 0.239820 , 0 , 0.00
16.166667, 0.220413 , 0.858599 , 0.240412 , 0 , 0.00
16.166667, 0.219827 , 0.856401 , 0.241004 , 0 , 0.00
16.333333, 0.226235 , 0.867891 , 0.244792 , 0 , 0.00
16.500000, 0.224312 , 0.864692 , 0.246922 , 0 , 0.00
16.833333, 0.222080 , 0.860555 , 0.249053 , 0 , 0.00
16.666667, 0.221523 , 0.858521 , 0.249527 , 0 , 0.00
16.666667, 0.220618 , 0.855798 , 0.250473 , 0 , 0.00
16.666667, 0.220204 , 0.854460 , 0.250947 , 0 , 0.00
16.833333, 0.220585 , 0.861076 , 0.253433 , 0 , 0.00
16.666667, 0.220116 , 0.858627 , 0.253906 , 0 , 0.00
16.750000, 0.222184 , 0.865451 , 0.254616 , 0 , 0.00
16.750000, 0.221983 , 0.864679 , 0.254853 , 0 , 0.00
16.750000, 0.221721 , 0.863942 , 0.255090 , 0 , 0.00
16.750000, 0.222315 , 0.864658 , 0.256984 , 0 , 0.00
16.750000, 0.223446 , 0.864999 , 0.259825 , 0 , 0.00
16.750000, 0.222809 , 0.863367 , 0.261245 , 0 , 0.00
