"time";"entropy";"path_consecutiveness";"bfr";"msi";"slots";"blocked";"sumSlots";"sumBlockedSlots";"ratio"
12;2.930233;163.182274;0.027084;23.093023;5;" false ";30;0;0.0
17;2.952381;204.436844;0.020315;23.47619;3;" false ";29;0;0.0
17;2.952381;215.101622;0.013335;23.761905;2;" false ";63;0;0.0
12;3.0;196.043001;0.024881;23.761905;4;" false ";34;0;0.0
12;3.0;197.98841;0.025313;23.333333;6;" false ";42;0;0.0
12;3.047619;186.258103;0.021484;26.666667;7;" false ";44;0;0.0
17;3.047619;197.649358;0.025105;24.761905;2;" false ";43;0;0.0
17;3.047619;215.034893;0.012938;23.857143;3;" false ";58;0;0.0
10;3.095238;144.900557;0.023537;23.238095;8;" false ";51;0;0.0
9;3.095238;195.013925;0.028705;23.857143;4;" false ";38;0;0.0
13;3.116279;155.360533;0.029882;24.534884;2;" false ";30;0;0.0
17;3.142857;196.298484;0.025883;25.714286;3;" false ";40;0;0.0
17;3.142857;196.627868;0.026299;25.428571;3;" false ";38;0;0.0
14;3.162791;155.657881;0.030251;24.697674;8;" false ";35;0;0.0
16;3.190476;181.876248;0.023307;28.142857;8;" false ";49;0;0.0
10;3.190476;191.484922;0.028154;24.190476;7;" false ";44;0;0.0
10;3.190476;192.696182;0.028154;23.857143;2;" false ";38;0;0.0
15;3.190476;202.282692;0.022541;23.666667;3;" false ";36;0;0.0
18;3.190476;208.120782;0.021428;24.0;2;" false ";35;0;0.0
14;3.190476;217.09813;0.017208;25.285714;7;" false ";60;0;0.0
14;3.238095;187.874742;0.023707;28.666667;5;" false ";53;0;0.0
10;3.285714;133.139667;0.025186;24.619048;5;" false ";49;0;0.0
14;3.285714;170.016776;0.021248;20.190476;3;" false ";49;0;0.0
13;3.285714;198.628411;0.021958;29.0;2;" false ";53;0;0.0
14;3.285714;219.173952;0.017354;25.619048;3;" false ";57;0;0.0
14;3.325581;150.350689;0.031194;25.697674;5;" false ";45;0;0.0
15;3.380952;161.207688;0.021235;20.190476;4;" false ";48;0;0.0
14;3.380952;164.466157;0.024108;25.761905;7;" false ";53;0;0.0
18;3.380952;205.663971;0.021016;24.285714;3;" false ";30;0;0.0
13;3.428571;177.390092;0.025554;27.809524;3;" false ";42;0;0.0
