"entropy";"pc";"bfr";"shf";"msi";"used";"demandsq";"lockss";"ratio"
"32.333333";"0.718548";"0.777916";"1.077522";"345.380952";"0.680330";"6";"0";"0.340000"
"38.285714";"0.588319";"0.801412";"1.263846";"344.142857";"0.633117";"6";"1";"0.380000"
"5.666667";"98.437583";"0.048129";"0.266537";"41.208333";"0.074692";"7";"0";"0.000000"
"31.714286";"0.623098";"0.783394";"1.114499";"338.952381";"0.670860";"5";"0";"0.010000"
"32.000000";"0.895453";"0.754688";"1.200209";"338.916667";"0.616832";"5";"2";"0.570000"
"35.285714";"0.593323";"0.786274";"1.169518";"345.142857";"0.662338";"8";"3";"0.410000"
"39.833333";"0.407852";"0.807630";"1.254115";"342.750000";"0.645241";"6";"2";"0.320000"
"33.666667";"1.282220";"0.765748";"1.404954";"341.875000";"0.523201";"10";"2";"0.170000"
"6.250000";"97.706807";"0.065580";"0.347362";"55.500000";"0.100734";"9";"0";"0.000000"
"30.534884";"3.842607";"0.712818";"1.499485";"306.232558";"0.399841";"5";"1";"0.100000"
"42.619048";"0.137712";"0.833465";"1.019882";"347.904762";"0.748106";"7";"2";"0.610000"
"5.083333";"119.583893";"0.079761";"0.357438";"53.708333";"0.080848";"4";"0";"0.000000"
"48.041667";"0.331469";"0.832290";"1.323872";"347.750000";"0.650095";"10";"2";"0.370000"
"33.714286";"0.481090";"0.802861";"1.147420";"345.428571";"0.666802";"1";"1";"0.120000"
"5.875000";"108.368967";"0.054239";"0.304458";"52.208333";"0.101563";"4";"0";"0.000000"
"37.083333";"1.348895";"0.759676";"1.420881";"337.541667";"0.521544";"2";"0";"0.110000"
"3.458333";"136.182092";"0.031536";"0.181284";"29.291667";"0.056463";"4";"0";"0.000000"
"40.860465";"0.980023";"0.785706";"1.389290";"338.906977";"0.555497";"5";"1";"0.400000"
"31.619048";"1.029673";"0.753794";"1.201077";"333.761905";"0.620265";"3";"2";"0.010000"
"8.333333";"66.646581";"0.080625";"0.425620";"73.041667";"0.141690";"6";"0";"0.000000"
"28.720930";"2.673126";"0.659164";"1.316913";"311.325581";"0.462408";"6";"2";"0.250000"
"6.041667";"92.500073";"0.087280";"0.410633";"68.666667";"0.120028";"1";"0";"0.000000"
"26.465116";"3.301939";"0.676444";"1.273140";"310.325581";"0.483615";"7";"2";"0.330000"
"26.500000";"3.050795";"0.687606";"1.263479";"314.833333";"0.509233";"5";"1";"0.010000"
"29.750000";"1.283232";"0.742838";"1.261639";"329.458333";"0.567827";"4";"0";"0.010000"
"31.708333";"2.231750";"0.704116";"1.338614";"318.916667";"0.513494";"4";"0";"0.010000"
"36.875000";"1.282105";"0.773376";"1.468090";"331.583333";"0.510772";"7";"0";"0.150000"
"30.488372";"3.038025";"0.706033";"1.418402";"311.837209";"0.446089";"2";"1";"0.270000"
"30.916667";"2.455205";"0.687474";"1.268764";"319.208333";"0.520952";"7";"1";"0.010000"
"31.041667";"1.494892";"0.737791";"1.334767";"333.666667";"0.542377";"4";"0";"0.010000"
"44.250000";"0.298627";"0.807101";"1.235319";"346.208333";"0.655421";"7";"2";"0.480000"
"46.619048";"0.174887";"0.867379";"1.095427";"348.523810";"0.734307";"9";"2";"0.350000"
"37.714286";"0.563669";"0.796198";"1.210720";"344.380952";"0.650703";"8";"1";"0.150000"
"31.875000";"1.441303";"0.725682";"1.296594";"327.750000";"0.547348";"1";"1";"0.470000"
"31.619048";"0.858841";"0.749273";"1.146137";"338.571429";"0.641775";"7";"3";"0.460000"
"26.916667";"1.293630";"0.722581";"1.171423";"335.708333";"0.587476";"1";"0";"0.240000"
"28.875000";"2.019413";"0.696175";"1.324672";"314.125000";"0.508286";"2";"1";"0.010000"
"39.285714";"0.366398";"0.787203";"1.090613";"346.285714";"0.703463";"8";"2";"0.400000"
"9.208333";"47.343013";"0.141298";"0.603906";"101.125000";"0.171165";"3";"0";"0.000000"
"41.958333";"0.682142";"0.805502";"1.517915";"343.833333";"0.534920";"1";"1";"0.220000"
"31.142857";"0.860986";"0.795213";"1.204423";"339.761905";"0.633793";"3";"1";"0.010000"
"43.083333";"0.201124";"0.816303";"1.073344";"348.000000";"0.721709";"8";"3";"0.610000"
"3.708333";"144.042855";"0.027061";"0.172235";"26.125000";"0.051373";"3";"0";"0.000000"
"28.930233";"3.696923";"0.653574";"1.338894";"306.720930";"0.451638";"6";"2";"0.410000"
"4.166667";"123.013992";"0.056947";"0.270991";"39.166667";"0.060488";"1";"0";"0.000000"
"25.458333";"3.491179";"0.663238";"1.257509";"308.416667";"0.497751";"6";"0";"0.010000"
"42.046512";"0.749148";"0.825286";"1.344377";"343.232558";"0.597384";"7";"1";"0.510000"
"3.083333";"178.083714";"0.037261";"0.198236";"30.333333";"0.053741";"6";"0";"0.000000"
"9.041667";"57.159700";"0.099291";"0.503456";"90.791667";"0.177320";"5";"0";"0.000000"
"44.000000";"0.180076";"0.840342";"1.077491";"346.571429";"0.731602";"6";"2";"0.530000"
"4.291667";"123.226392";"0.056533";"0.273025";"39.916667";"0.063210";"4";"0";"0.000000"
"42.476190";"0.594809";"0.824713";"1.454474";"341.619048";"0.586986";"6";"0";"0.110000"
"34.238095";"0.523967";"0.800631";"1.111014";"343.476190";"0.683036";"7";"3";"0.570000"
"52.208333";"0.113174";"0.853103";"1.150536";"347.791667";"0.723840";"5";"0";"0.440000"
"4.250000";"148.839054";"0.031990";"0.212086";"36.416667";"0.076705";"3";"0";"0.000000"
"31.750000";"1.217856";"0.733814";"1.341136";"332.083333";"0.544626";"7";"3";"0.020000"
"26.883721";"3.259708";"0.678779";"1.277171";"310.325581";"0.484342";"3";"1";"0.150000"
"9.083333";"48.653099";"0.135738";"0.576521";"99.708333";"0.171520";"2";"0";"0.000000"
"30.000000";"1.691231";"0.742314";"1.254140";"327.916667";"0.567116";"5";"0";"0.010000"
"4.208333";"128.838790";"0.039104";"0.229597";"38.250000";"0.075402";"3";"0";"0.000000"
"41.958333";"0.179123";"0.830243";"1.070039";"347.375000";"0.729048";"7";"3";"0.330000"
"41.232558";"1.325902";"0.803208";"1.488499";"338.232558";"0.524841";"2";"0";"0.380000"
"25.813953";"3.756365";"0.679134";"1.277454";"307.209302";"0.471393";"4";"0";"0.270000"
"47.833333";"0.084288";"0.852916";"1.045291";"347.916667";"0.749882";"6";"3";"0.620000"
"6.750000";"91.819829";"0.072699";"0.389108";"66.458333";"0.126657";"3";"0";"0.000000"
"44.500000";"0.191647";"0.830898";"1.184553";"349.166667";"0.689039";"4";"0";"0.260000"
"6.250000";"99.320017";"0.072771";"0.378405";"63.583333";"0.118371";"5";"0";"0.000000"
"33.604651";"2.527285";"0.728346";"1.458710";"329.279070";"0.461416";"8";"7";"0.410000"
"33.333333";"0.942047";"0.760351";"1.273170";"331.208333";"0.582268";"7";"1";"0.390000"
"29.250000";"1.679722";"0.711344";"1.236664";"333.666667";"0.545928";"4";"0";"0.140000"
"6.333333";"77.742113";"0.082130";"0.395032";"64.416667";"0.112098";"4";"0";"0.000000"
"28.790698";"2.584193";"0.691986";"1.304582";"309.465116";"0.488702";"6";"1";"0.130000"
"8.791667";"56.027733";"0.100550";"0.501624";"85.208333";"0.158854";"4";"0";"0.000000"
"43.302326";"0.877692";"0.816782";"1.522839";"342.000000";"0.543539";"6";"1";"0.450000"
"30.583333";"1.697431";"0.669487";"1.176713";"322.083333";"0.571259";"3";"0";"0.010000"
"29.875000";"2.856922";"0.709078";"1.392293";"327.583333";"0.481771";"2";"0";"0.010000"
"9.541667";"46.829685";"0.167157";"0.633759";"110.166667";"0.176728";"3";"0";"0.000000"
"42.750000";"0.838488";"0.801028";"1.494620";"331.708333";"0.549242";"4";"0";"0.130000"
"42.208333";"0.180814";"0.827017";"1.082659";"349.333333";"0.721117";"7";"2";"0.360000"
"45.190476";"0.490409";"0.842780";"1.334015";"345.047619";"0.640422";"6";"1";"0.330000"
"8.166667";"62.134299";"0.103354";"0.495048";"78.625000";"0.135535";"5";"0";"0.000000"
"28.500000";"2.344162";"0.690199";"1.244767";"335.458333";"0.531605";"3";"0";"0.010000"
"9.666667";"48.358624";"0.124594";"0.568769";"101.541667";"0.188447";"10";"0";"0.000000"
