"entropy";"path_consecutiveness";"bfr";"msi";"blocked";"ratio"
"45.302326";"0.811861";"0.810379";"342.604651";"1";"0.567000"
"47.476190";"0.427497";"0.851609";"347.333333";"1";"0.570000"
"44.500000";"0.351777";"0.814755";"338.708333";"1";"0.530000"
"49.714286";"0.173429";"0.853425";"346.571429";"1";"0.640000"
"45.348837";"1.266370";"0.806292";"334.023256";"1";"0.570000"
"47.833333";"0.274716";"0.848159";"346.166667";"1";"0.580000"
"55.142857";"0.167924";"0.878372";"350.190476";"1";"0.550000"
"50.666667";"0.290092";"0.839394";"346.833333";"1";"0.530000"
"52.047619";"0.206167";"0.856609";"347.428571";"1";"0.570000"
"38.441860";"1.500680";"0.773795";"335.325581";"1";"0.620000"
"51.291667";"0.234442";"0.835838";"347.166667";"1";"0.640000"
"56.142857";"0.089452";"0.871227";"348.000000";"1";"0.670000"
"53.500000";"0.180370";"0.870224";"349.375000";"1";"0.500000"
"56.571429";"0.209463";"0.865949";"347.000000";"1";"0.700000"
"56.238095";"0.117079";"0.885596";"349.619048";"1";"0.590000"
"56.571429";"0.146002";"0.866336";"349.428571";"1";"0.510000"
"52.142857";"0.160181";"0.858005";"349.476190";"1";"0.630000"
"55.476190";"0.140823";"0.878807";"349.619048";"1";"0.650000"
"56.285714";"0.247027";"0.881293";"346.714286";"1";"0.680000"
"51.416667";"0.232278";"0.836534";"347.166667";"1";"0.600000"
"51.952381";"0.294392";"0.854089";"348.000000";"1";"0.600000"
"52.190476";"0.171331";"0.840177";"348.047619";"1";"0.650000"
"54.428571";"0.176199";"0.877711";"350.190476";"1";"0.610000"
"50.000000";"0.458329";"0.858978";"345.761905";"1";"0.640000"
"53.541667";"0.330971";"0.855832";"347.541667";"1";"0.550000"
"54.333333";"0.168123";"0.876637";"348.708333";"1";"0.590000"
"43.666667";"0.513380";"0.811193";"347.857143";"1";"0.680000"
"52.952381";"0.183447";"0.859680";"348.333333";"0";"0.580000"
"50.952381";"0.255435";"0.878386";"348.809524";"1";"0.680000"
"40.666667";"0.540803";"0.820052";"342.291667";"1";"0.580000"
"56.857143";"0.159879";"0.867057";"349.619048";"1";"0.530000"
"46.333333";"0.372403";"0.857180";"347.833333";"1";"0.500000"
"49.541667";"0.367793";"0.849933";"348.833333";"1";"0.530000"
"39.142857";"0.158885";"0.801097";"349.380952";"1";"0.500000"
"48.714286";"0.287243";"0.848977";"347.904762";"1";"0.670000"
"46.416667";"0.517278";"0.836721";"345.833333";"1";"0.510000"
"51.333333";"0.213737";"0.840508";"347.047619";"1";"0.620000"
"31.523810";"0.667183";"0.756160";"347.714286";"1";"0.520000"
"55.761905";"0.192685";"0.860535";"349.142857";"1";"0.630000"
"41.488372";"1.404799";"0.802858";"335.674419";"1";"0.680000"
"43.761905";"0.281536";"0.842027";"346.428571";"1";"0.538000"
"39.095238";"0.156541";"0.793362";"350.476190";"1";"0.515000"
"57.666667";"0.178160";"0.873030";"347.428571";"1";"0.660000"
"46.285714";"0.528655";"0.851060";"347.714286";"1";"0.690000"
